Exported,Product,Site Name,Tank Dip,Transaction Date/Time,Vehicle Number,Vehicle Registration,Vehicle Brand,Vehicle Model,Volume
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-20 16:55:00,EC97126,,,,18.15000
False,Diesel,Europcar Gl. Kongevej,,2025-01-21 06:14:00,DL52953,,,,9.54000
False,Diesel,Europcar Gl. Kongevej,,2025-01-21 10:56:00,DM32476,,,,3.39000
False,Diesel,Europcar Gl. Kongevej,,2025-01-21 17:05:00,DE80408,,,,5.48000
False,Diesel,Europcar Gl. Kongevej,,2025-01-22 05:59:00,DJ57372,,,,0.00000
False,Diesel,Europcar Gl. Kongevej,,2025-01-22 06:00:00,DJ57372,,,,3.55000
False,Diesel,Europcar Gl. Kongevej,,2025-01-22 06:30:00,DD90180,,,,5.05000
False,Diesel,Europcar Gl. Kongevej,,2025-01-22 07:00:00,CU39198,,,,10.04000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-22 08:01:00,DB17409,,,,33.75000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-22 09:02:00,ED32531,,,,4.03000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-22 09:07:00,EF20753,,,,6.68000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-22 10:24:00,DT26816,,,,49.55000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-22 14:43:00,EB27120,,,,9.81000
False,Diesel,Europcar Gl. Kongevej,,2025-01-23 06:11:00,DD90180,,,,2.70000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 06:16:00,DA93368,,,,23.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 06:20:00,DT88076,,,,7.46000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 06:35:00,DJ91849,,,,5.13000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 08:39:00,DJ43501,,,,12.00000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 09:52:00,CX48600,,,,18.71000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 10:14:00,DJ23567,,,,8.78000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 10:27:00,EF20834,,,,1.66000
False,Diesel,Europcar Gl. Kongevej,,2025-01-23 11:42:00,EB59110,,,,17.98000
False,Diesel,Europcar Gl. Kongevej,,2025-01-23 14:29:00,ED23412,,,,27.03000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 15:18:00,DH61736,,,,2.31000
False,Diesel,Europcar Gl. Kongevej,,2025-01-23 15:56:00,EB46726,,,,5.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-23 16:43:00,DM32480,,,,3.64000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-23 17:00:00,DT26854,,,,23.03000
False,Diesel,Europcar Gl. Kongevej,,2025-01-23 17:18:00,DV52983,,,,6.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-24 05:45:00,ED23410,,,,38.81000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-24 05:58:00,ED12701,,,,53.01000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-24 06:03:00,DH61732,,,,6.51000
False,Diesel,Europcar Gl. Kongevej,,2025-01-24 07:50:00,DV31520,,,,58.13000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-24 08:58:00,EC12776,,,,1.92000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-24 09:13:00,DV41581,,,,4.29000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-24 09:28:00,DT28416,,,,6.01000
False,Diesel,Europcar Gl. Kongevej,,2025-01-24 09:40:00,DY83975,,,,14.67000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-24 10:40:00,EB83336,,,,5.59000
False,Diesel,Europcar Gl. Kongevej,,2025-01-24 13:58:00,EC19393,,,,56.04000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-24 16:23:00,EB63542,,,,6.07000
False,Diesel,Europcar Gl. Kongevej,,2025-01-25 06:38:00,BZ14802,,,,17.79000
False,Diesel,Europcar Gl. Kongevej,,2025-01-25 06:53:00,DY57073,,,,4.90000
False,Diesel,Europcar Gl. Kongevej,,2025-01-25 07:01:00,EB46727,,,,21.01000
False,Diesel,Europcar Gl. Kongevej,,2025-01-25 07:26:00,DD90180,,,,1.75000
False,Diesel,Europcar Gl. Kongevej,,2025-01-25 11:42:00,EB63579,,,,31.12000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-26 06:23:00,EB70249,,,,44.89000
False,Diesel,Europcar Gl. Kongevej,,2025-01-26 06:27:00,DJ87861,,,,4.59000
False,Diesel,Europcar Gl. Kongevej,,2025-01-26 06:53:00,DM92378,,,,17.66000
False,Diesel,Europcar Gl. Kongevej,,2025-01-26 07:18:00,DY57073,,,,6.13000
False,Diesel,Europcar Gl. Kongevej,,2025-01-26 07:36:00,DS53869,,,,13.19000
False,Diesel,Europcar Gl. Kongevej,,2025-01-26 13:27:00,DY83975,,,,2.84000
False,Diesel,Europcar Gl. Kongevej,,2025-01-26 14:21:00,DM22168,,,,39.18000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-27 05:10:00,EA48418,,,,9.53000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-27 05:14:00,DL72634,,,,19.00000
False,Diesel,Europcar Gl. Kongevej,,2025-01-27 05:45:00,DJ87861,,,,3.15000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-27 08:30:00,EB91344,,,,41.02000
False,Diesel,Europcar Gl. Kongevej,,2025-01-27 09:46:00,DJ97034,,,,25.11000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-27 11:28:00,DP48954,,,,5.50000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-27 11:31:00,DP58841,,,,5.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-27 11:34:00,DM32476,,,,3.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-28 06:10:00,ED23412,,,,12.50000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-28 10:45:00,DT32180,,,,59.83000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-28 12:04:00,DM24485,,,,29.01000
False,Diesel,Europcar Gl. Kongevej,,2025-01-29 07:31:00,DY85923,,,,25.60000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-29 10:02:00,DA48681,,,,31.93000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-29 10:10:00,DJ23567,,,,3.68000
False,Diesel,Europcar Gl. Kongevej,,2025-01-29 10:46:00,DE80399,,,,8.52000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-29 12:04:00,DP92152,,,,17.21000
False,Diesel,Europcar Gl. Kongevej,,2025-01-29 12:52:00,DM48574,,,,59.03000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-29 13:24:00,DJ83907,,,,1.64000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-29 14:14:00,DS84726,,,,9.59000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-29 15:05:00,DT40995,,,,34.92000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-29 16:19:00,CZ63260,,,,14.34000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-30 05:55:00,DJ91849,,,,13.61000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-30 06:04:00,EB87035,,,,8.53000
False,Diesel,Europcar Gl. Kongevej,,2025-01-30 06:15:00,DM32476,,,,12.18000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-30 06:36:00,EC19401,,,,11.00000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-30 10:22:00,EA48480,,,,35.24000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-31 05:52:00,EC36421,,,,7.50000
False,Diesel,Europcar Gl. Kongevej,,2025-01-31 06:22:00,DM93071,,,,5.25000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-31 08:52:00,ED12707,,,,20.58000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-31 09:25:00,EC84110,,,,13.48000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-31 15:20:00,EC97133,,,,24.02000
False,Diesel,Europcar Gl. Kongevej,,2025-01-31 17:36:00,DN22851,,,,34.36000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-01 06:32:00,DV29943,,,,11.74000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-01 08:08:00,EA45749,,,,11.00000
False,Diesel,Europcar Gl. Kongevej,,2025-02-01 08:59:00,DV53953,,,,2.95000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-01 09:56:00,EB91330,,,,2.39000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-01 12:48:00,DT40993,,,,5.25000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-01 13:26:00,EB63566,,,,3.26000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-02 06:34:00,EB87035,,,,16.19000
False,Diesel,Europcar Gl. Kongevej,,2025-02-02 07:20:00,DV12151,,,,3.86000
False,Diesel,Europcar Gl. Kongevej,,2025-02-02 07:58:00,DM22168,,,,26.85000
False,Diesel,Europcar Gl. Kongevej,,2025-02-02 09:49:00,EB52427,,,,17.41000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-02 12:02:00,EF20904,,,,7.50000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-02 12:59:00,DV17706,,,,4.48000
False,Diesel,Europcar Gl. Kongevej,,2025-02-02 13:09:00,CT22980,,,,60.53000
False,Diesel,Europcar Gl. Kongevej,,2025-02-03 05:14:00,EA42136,,,,50.08000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-03 05:21:00,DM62388,,,,42.21000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-03 05:26:00,DV29946,,,,29.38000
False,Diesel,Europcar Gl. Kongevej,,2025-02-03 05:30:00,CG19786,,,,10.96000
False,Diesel,Europcar Gl. Kongevej,,2025-02-03 06:09:00,BZ14807,,,,15.74000
False,Diesel,Europcar Gl. Kongevej,,2025-02-03 06:30:00,DJ87861,,,,3.51000
False,Diesel,Europcar Gl. Kongevej,,2025-02-03 06:54:00,DE80408,,,,5.37000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-03 10:27:00,EB10872,,,,23.64000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-03 11:13:00,DT85258,,,,32.32000
False,Diesel,Europcar Gl. Kongevej,,2025-02-03 13:40:00,EB64636,,,,11.67000
False,Diesel,Europcar Gl. Kongevej,,2025-02-04 05:52:00,DJ97034,,,,3.13000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-04 06:09:00,DP58834,,,,10.43000
False,Diesel,Europcar Gl. Kongevej,,2025-02-04 10:18:00,DV52983,,,,9.62000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-04 14:01:00,ED12701,,,,15.18000
