Transaction Date/Time,Vehicle Number,Odometer,Product,Volume,Customer Price,Total Price
2025-12-11 09:40:00,EL47022,5.0,Benzin - Blyfri,57.12000,25.00000,1428.0
2025-12-11 07:24:00,EL14319,264.0,Benzin - Blyfri,1.60000,25.00000,40.0
2025-12-11 06:19:00,DT26836,56143.0,Benzin - Blyfri,5.01000,25.00000,125.25
2025-12-11 06:02:00,EH57590,11975.0,Benzin - Blyfri,48.26000,25.00000,1206.5
2025-12-11 05:57:00,EH82185,24027.0,Benzin - Blyfri,23.02000,25.00000,575.5
2025-12-10 16:10:00,DT39107,47056.0,Benzin - Blyfri,6.88000,25.00000,172.0
2025-12-10 10:14:00,EL143319,262.0,Benzin - Blyfri,1.76000,25.00000,44.0
2025-12-10 08:56:00,EL14319,262.0,Benzin - Blyfri,2.72000,25.00000,68.0
2025-12-10 07:42:00,EL31507,3.0,Benzin - Blyfri,27.30000,25.00000,682.5
2025-12-10 07:39:00,EL31508,4.0,Benzin - Blyfri,27.27000,25.00000,681.75
2025-12-10 07:35:00,EL31511,3.0,Benzin - Blyfri,27.08000,25.00000,677.0
2025-12-10 07:31:00,EL31509,4.0,Benzin - Blyfri,27.07000,25.00000,676.75
2025-12-10 07:26:00,EL31504,4.0,Benzin - Blyfri,27.08000,25.00000,677.0
2025-12-10 07:22:00,EL31510,3.0,Benzin - Blyfri,27.09000,25.00000,677.25
2025-12-10 07:18:00,EL31506,4.0,Benzin - Blyfri,27.01000,25.00000,675.25
2025-12-10 07:05:00,EL31505,2.0,Benzin - Blyfri,27.75000,25.00000,693.75
2025-12-10 06:05:00,EH57595,19111.0,Benzin - Blyfri,23.76000,25.00000,594.0
2025-12-09 16:42:00,EJ22592,17638.0,Benzin - Blyfri,8.00000,25.00000,200.0
2025-12-09 13:22:00,EK42144,5645.0,Benzin - Blyfri,4.01000,25.00000,100.25
2025-12-09 10:39:00,DL39013,46878.0,Benzin - Blyfri,14.92000,25.00000,373.0
2025-12-09 10:19:00,DV52983,41858.0,Diesel,4.21000,25.00000,105.25
2025-12-09 09:44:00,EL31496,4.0,Benzin - Blyfri,53.69000,25.00000,1342.25
2025-12-09 09:38:00,EL31485,4.0,Benzin - Blyfri,53.55000,25.00000,1338.75
2025-12-09 09:32:00,EL31498,4.0,Benzin - Blyfri,53.80000,25.00000,1345.0
2025-12-09 09:27:00,EC12728,39190.0,Benzin - Blyfri,59.51000,25.00000,1487.75
2025-12-09 09:16:00,EL31486,4.0,Benzin - Blyfri,52.69000,25.00000,1317.25
2025-12-09 09:03:00,EL31497,4.0,Benzin - Blyfri,53.00000,25.00000,1325.0
2025-12-09 08:57:00,EL31495,3.0,Benzin - Blyfri,52.02000,25.00000,1300.5
